Family,Variable,H_mean,H_median,H_std,AD_mean,AD_median,AD_std,CD_mean,CD_median,CD_std,FD_mean,FD_median,FD_std
Profitability,ROA,0.0548,0.0437,0.0746,-0.0365,-0.0086,0.1135,0.0422,0.0342,0.0743,-0.0801,-0.0256,0.1591
Profitability,ROE,0.1308,0.115,0.3235,0.0414,0.0353,0.6779,0.1274,0.0997,0.3483,-0.0098,0.0196,0.7794
Profitability,ROCE,0.214,0.1918,0.1865,0.0337,0.0355,0.2862,0.1841,0.1566,0.2182,-0.0396,-0.0016,0.3772
Profitability,EBITDA_Margin,0.1801,0.1205,0.2048,0.1342,0.0778,0.3556,0.1045,0.0708,0.1672,-0.0162,0.0274,0.3928
Profitability,Operating_Profit_Margin,0.1568,0.1052,0.1872,0.0324,0.0267,0.3164,0.0757,0.0555,0.1495,-0.1277,-0.0207,0.3408
Profitability,Net_Profit_Margin,0.0439,0.0379,0.1812,-0.2931,-0.0206,0.746,0.0165,0.0229,0.245,-0.3957,-0.0571,0.8592
Leverage,Debt_to_Assets,0.3108,0.2752,0.2429,0.5329,0.4652,0.3889,0.2728,0.2432,0.2245,0.4613,0.3391,0.4205
Leverage,Debt_to_Equity,1.1323,0.586,3.8496,0.9434,0.6291,7.585,1.0904,0.5547,3.3984,0.6927,0.3438,6.4687
Leverage,LT_Debt_to_Assets,0.159,0.0952,0.1819,0.2629,0.1435,0.2742,0.1215,0.0866,0.145,0.2028,0.0958,0.2469
Leverage,TL_to_TA,0.5763,0.5753,0.257,0.8247,0.7873,0.4164,0.5931,0.6045,0.2684,0.7555,0.7005,0.4673
Leverage,TA_to_Equity,3.1928,2.2888,6.6045,3.0576,2.3782,12.9009,3.6607,2.4504,7.3571,2.6876,1.8596,11.6035
Leverage,Net_Debt_to_EBITDA,2.5194,1.7015,7.0742,5.5471,4.0718,22.7018,2.3088,1.5233,9.0337,1.7489,1.0683,21.9496
Liquidity,Current_Ratio,1.9855,1.4791,1.8216,1.7096,1.1165,2.2906,2.1936,1.5244,2.2039,1.9881,1.2059,2.5956
Liquidity,Quick_Ratio,1.2843,1.0124,1.1453,1.0378,0.843,1.2186,1.3582,1.0293,1.3114,1.2308,0.9498,1.4485
Liquidity,Cash_to_CL,0.3383,0.1003,0.6708,0.2403,0.0484,0.6288,0.3623,0.112,0.7206,0.4022,0.0795,0.8807
Cash_Flow,CFO_to_CL,0.3561,0.2025,0.6308,0.1505,0.0739,0.6342,0.1771,0.1087,0.643,-0.0948,-0.0116,0.7399
Cash_Flow,CFO_to_Debt,2.107,0.2319,9.4547,0.5959,0.0732,5.2732,2.0607,0.1691,10.1768,0.4921,-0.0003,6.9833
Cash_Flow,CFO_to_Net_Income,1.8157,1.0875,10.4092,1.0596,0.0111,14.8798,1.5613,0.8699,12.491,0.8249,0.4548,13.5701
Cash_Flow,NCF_to_Debt,0.2235,0.0018,2.3941,0.0351,0.0002,1.7063,0.4523,0.0035,2.9893,0.1951,0.0008,2.5022
Cash_Flow,NCF_to_TA,0.0063,0.0007,0.0516,-0.0006,0.0001,0.0482,0.0162,0.0017,0.0685,0.0051,0.0004,0.0685
Turnover_Efficiency,Total_Asset_Turnover,1.3937,1.1077,1.244,0.9269,0.5082,1.2935,1.8215,1.3044,1.7089,1.0209,0.6204,1.3216
Turnover_Efficiency,Inventory_Turnover,38.3834,8.7885,125.7406,43.1107,8.6369,139.1229,34.6863,8.5625,121.6344,42.7604,8.7652,142.6776
Turnover_Efficiency,Receivables_Turnover,20.3178,6.0164,65.0059,25.0043,5.7658,76.757,23.709,6.1024,74.3698,30.2888,6.0,88.7499
Turnover_Efficiency,Payables_Turnover,26.4944,9.2928,66.1054,22.761,6.6243,65.558,33.2781,8.285,84.8729,21.7691,5.8346,68.543
Turnover_Efficiency,WC_Turnover,6.5677,4.197,30.9505,2.9087,0.4735,28.8162,8.4877,4.4471,32.514,2.9561,0.7074,27.4139
Working_Capital,WC_to_TA,-0.1895,-0.184,0.2408,-0.0106,-0.0453,0.3968,-0.2423,-0.2431,0.2578,-0.043,-0.0826,0.4148
Working_Capital,Cash_Conversion_Cycle,-158.4931,59.7258,1940.1218,-66.3106,53.4478,2977.9099,-155.5822,56.7589,2186.9805,-397.5772,40.9739,3392.2096
