Variable,Family,AD_median,CD_median,Higher_in,U_stat,p_value,Sig_0.05,Priority_var
ROA,Profitability,-0.0086,0.0342,CD,10503065.5,0.0,Yes,No
WC_Turnover,Turnover_Efficiency,0.4735,4.4471,CD,15717170.0,0.0,Yes,No
Payables_Turnover,Turnover_Efficiency,6.6243,8.285,CD,21496226.5,0.0,Yes,No
Receivables_Turnover,Turnover_Efficiency,5.7658,6.1024,CD,23866337.5,0.0,Yes,No
Total_Asset_Turnover,Turnover_Efficiency,0.5082,1.3044,CD,13534293.0,0.0,Yes,No
NCF_to_TA,Cash_Flow,0.0001,0.0017,CD,21053344.5,0.0,Yes,Yes
NCF_to_Debt,Cash_Flow,0.0002,0.0035,CD,21036924.0,0.0,Yes,Yes
CFO_to_Net_Income,Cash_Flow,0.0111,0.8699,CD,21098322.5,0.0,Yes,Yes
CFO_to_Debt,Cash_Flow,0.0732,0.1691,CD,20527737.5,0.0,Yes,Yes
CFO_to_CL,Cash_Flow,0.0739,0.1087,CD,23714118.5,0.0,Yes,Yes
Cash_to_CL,Liquidity,0.0484,0.112,CD,19292043.0,0.0,Yes,Yes
WC_to_TA,Working_Capital,-0.0453,-0.2431,AD,34879664.5,0.0,Yes,Yes
Quick_Ratio,Liquidity,0.843,1.0293,CD,18508980.0,0.0,Yes,Yes
Net_Debt_to_EBITDA,Leverage,4.0718,1.5233,AD,31011729.0,0.0,Yes,No
TA_to_Equity,Leverage,2.3782,2.4504,CD,23437528.0,0.0,Yes,No
TL_to_TA,Leverage,0.7873,0.6045,AD,34207514.0,0.0,Yes,No
LT_Debt_to_Assets,Leverage,0.1435,0.0866,AD,32893221.0,0.0,Yes,No
Debt_to_Assets,Leverage,0.4652,0.2432,AD,35868607.5,0.0,Yes,No
Net_Profit_Margin,Profitability,-0.0206,0.0229,CD,13018166.0,0.0,Yes,No
Operating_Profit_Margin,Profitability,0.0267,0.0555,CD,20075482.5,0.0,Yes,No
ROCE,Profitability,0.0355,0.1566,CD,13193132.5,0.0,Yes,No
ROE,Profitability,0.0353,0.0997,CD,19385311.0,0.0,Yes,No
Current_Ratio,Liquidity,1.1165,1.5244,CD,16643781.0,0.0,Yes,Yes
Inventory_Turnover,Turnover_Efficiency,8.6369,8.5625,AD,24204720.0,0.000275,Yes,No
EBITDA_Margin,Profitability,0.0778,0.0708,AD,25838682.0,0.002106,Yes,No
Debt_to_Equity,Leverage,0.6291,0.5547,AD,24827342.5,0.280148,No,No
Cash_Conversion_Cycle,Working_Capital,53.4478,56.7589,CD,24941737.0,0.541842,No,Yes
