Variable,Family,VIF,Flag
TL_to_TA,Leverage,9.46,MODERATE — watch (5–10)
Debt_to_Assets,Leverage,8.86,MODERATE — watch (5–10)
TA_to_Equity,Leverage,7.51,MODERATE — watch (5–10)
Current_Ratio,Liquidity,7.04,MODERATE — watch (5–10)
Debt_to_Equity,Leverage,6.92,MODERATE — watch (5–10)
EBITDA_Margin,Profitability,6.36,MODERATE — watch (5–10)
Operating_Profit_Margin,Profitability,5.25,MODERATE — watch (5–10)
Quick_Ratio,Liquidity,5.14,MODERATE — watch (5–10)
LT_Debt_to_Assets,Leverage,4.29,OK (<5)
Total_Asset_Turnover,Turnover_Efficiency,3.26,OK (<5)
WC_to_TA,Working_Capital,3.17,OK (<5)
ROA,Profitability,2.8,OK (<5)
ROCE,Profitability,2.49,OK (<5)
Cash_to_CL,Liquidity,2.42,OK (<5)
CFO_to_CL,Cash_Flow,1.85,OK (<5)
Net_Profit_Margin,Profitability,1.8,OK (<5)
NCF_to_Debt,Cash_Flow,1.5,OK (<5)
CFO_to_Debt,Cash_Flow,1.4,OK (<5)
Payables_Turnover,Turnover_Efficiency,1.38,OK (<5)
NCF_to_TA,Cash_Flow,1.36,OK (<5)
ROE,Profitability,1.31,OK (<5)
Net_Debt_to_EBITDA,Leverage,1.18,OK (<5)
Receivables_Turnover,Turnover_Efficiency,1.17,OK (<5)
Inventory_Turnover,Turnover_Efficiency,1.16,OK (<5)
WC_Turnover,Turnover_Efficiency,1.09,OK (<5)
CFO_to_Net_Income,Cash_Flow,1.05,OK (<5)
Cash_Conversion_Cycle,Working_Capital,1.02,OK (<5)
